,chile,cover,fraud_car_insur,fraud_creditcard,korean5,mammography,piechart2,pizzacutter1,satellite,winequality,AP,F1MAX,AP,F1MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_dt_puhd,0.354959618,0.881343901,0.059356643,0.573368437,0.805275466,0.442791165,0.055952381,0.13019275,0.605946911,0.024549846,f1,f1_dt_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_dt_puhd,0.346500356,0.881238159,0.232930976,0.573368437,0.713952778,0.33681854,0.11517764,0.252543104,0.279132618,0.112002464,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_dt_puhd,0.464354278,0.888506186,0.255793914,0.573368437,0.833736655,0.553183832,0.131764942,0.269243052,0.618388315,0.140072905,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_rf,0.950916667,0.998827458,0.798076931,0.94260601,0.903544116,0.92875707,0.746210046,0.844783128,0.980465002,0.744989224,ro,roc_rf,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_rf,0.642331692,0.972675009,0.17587365,0.71955,0.671540798,0.609072994,0.116267583,0.363778614,0.754491951,0.100203734,ap,ap_rf,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_rf,0.529845417,0.903315491,0.025529052,0.549415584,0.637968349,0.586195399,0.064967533,0.323245264,0.683742599,0.082728445,f1,f1_rf,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_rf,0.173179125,0.364500837,0.211058359,0.137439179,0.235694951,0.128131642,0.101492996,0.297012323,0.151871542,0.099748785,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_rf,0.627395455,0.936109099,0.251262077,0.803192641,0.694329557,0.628741144,0.214834501,0.43748158,0.726421093,0.197907761,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_rf_puhd,0.946272996,0.998041122,0.80842893,0.943779633,0.925082449,0.929983423,0.71956621,0.833820014,0.971984562,0.742322198,ro,roc_rf,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_rf_puhd,0.696421216,0.976983124,0.208306452,0.776420901,0.800358726,0.689515988,0.077517585,0.380123585,0.802304163,0.11629372,ap,ap_rf_,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_rf_puhd,0.263464132,0.800359724,0.008214999,0.300396825,0.598423627,0.470580117,0,0.129096516,0.592625746,0,f1,f1_rf_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_rf_puhd,0.401713446,0.476341013,0.24356823,0.179794205,0.474354378,0.394926133,0.102184145,0.340607288,0.349242893,0.172485638,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_rf_puhd,0.659793102,0.946272397,0.268472013,0.84979798,0.812520405,0.681368632,0.165056619,0.447044482,0.776558553,0.212640419,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_srf_puhd,0.952133122,0.998052438,0.81185589,0.938569282,0.923232722,0.931006095,0.718972603,0.83266735,0.975197595,0.729562904,ro,roc_sr,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_srf_puhd,0.71500907,0.978976101,0.209968088,0.770797197,0.7823381,0.680833686,0.095575283,0.383787709,0.807311063,0.111979886,ap,ap_srf,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_srf_puhd,0.450201192,0.878152654,0.044507335,0.478506493,0.697875165,0.580918913,0,0.278692223,0.68632078,0,f1,f1_srf,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_srf_puhd,0.334852896,0.455419961,0.231235716,0.167475876,0.416114936,0.356013426,0.109425648,0.310791655,0.302753772,0.145793492,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_srf_puhd,0.670495641,0.948446055,0.266469447,0.848512044,0.802486356,0.673238382,0.189393073,0.44472413,0.783449631,0.214651773,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_pubag,0.871700211,0.9991536,0.769421641,0.942951586,0.730147691,0.90953096,0.791392694,0.844834358,0.992294563,0.759873384,ro,roc_pu,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_pubag,0.340469613,0.869800261,0.124203085,0.495107241,0.164127104,0.270339153,0.10919789,0.2866447,0.72417316,0.12100163,ap,ap_pub,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_pubag,0.271838326,0.674269834,0.221745922,0.305540086,0.136554104,0.265662272,0.097796058,0.339922734,0.381056477,0.128669665,f1,f1_pub,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_pubag,0.156239878,0.147387274,0.221431343,0.181640503,0.120042063,0.157214229,0.053476676,0.225672768,0.102794956,0.077198064,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_pubag,0.463369428,0.908387436,0.22546202,0.64119228,0.298620073,0.443261146,0.212290066,0.414050973,0.756425811,0.245398043,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_elkno,0.802824262,0.99832635,0.585148542,0.818612688,0.552487812,0.891928693,0.512100457,0.666103142,0.958509657,0.514426185,ro,roc_el,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_elkno,0.374948294,0.951589515,0.089868184,0.371473756,0.068708924,0.543329286,0.079829652,0.304512488,0.71768364,0.056324481,ap,ap_elk,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
